name,price,change,change_percent
AAPL,177.57,+3.60,(+2.07%)
FTNT,57.59,+0.28,(+0.49%)
SQ,43.98,+3.02,(+7.37%)
DKNG,28.98,+1.75,(+6.43%)
NIO,7.79,+0.34,(+4.56%)
FUBO,2.7400,+0.3500,(+14.64%)
BILL,89.47,+1.21,(+1.37%)
ENB,33.51,+1.11,(+3.43%)
PANW,250.36,+5.50,(+2.25%)
CVNA,29.92,+3.93,(+15.12%)
0700.HK,302.600,+14.000,(+4.85%)
QSR,69.09,+2.03,(+3.03%)
PSTV,1.3600,+0.0700,(+5.43%)
EXPE,94.84,+1.57,(+1.68%)
MAERSK-B.CO,"10,090.00","-2,105.00",(-17.26%)
TEAM,181.40,+3.55,(+2.00%)
NET,56.58,+1.63,(+2.97%)
DOCN,21.23,+1.41,(+7.11%)
COIN,84.60,+6.79,(+8.73%)
PARA,11.92,+1.12,(+10.37%)
NVOS,0.2585,+0.0250,(+10.71%)
IFRX,1.4000,-0.2200,(-13.58%)
BKNG,"2,838.62",+72.39,(+2.62%)
CYTO,0.1635,+0.0085,(+5.48%)
STEM,3.5200,+0.2100,(+6.34%)
CRWD,182.80,+4.45,(+2.50%)
ENB.TO,46.06,+1.14,(+2.54%)
MGA,49.04,+0.80,(+1.66%)
HOWL,2.1500,-0.1300,(-5.70%)
FND,84.92,+2.01,(+2.42%)
